TIMESTAMP	DIRECTION	DATA
09:56:34	>>		ATD
09:56:34	<<		ATDOK
09:56:34	>>		ATZ
09:56:35	<<		ATZELM327 v1.5
09:56:37	>>		ATI
09:56:37	<<		ATIELM327 v1.5
09:56:37	>>		AT@1
09:56:37	<<		AT@1OBDII to RS232 Interpreter
09:56:37	>>		AT@2
09:56:37	<<		AT@2?
09:56:38	>>		ATE0
09:56:38	<<		ATE0OK
09:56:38	>>		ATL0
09:56:38	<<		OK
09:56:38	>>		ATS0
09:56:38	<<		OK
09:56:38	>>		ATM0
09:56:38	<<		OK
09:56:39	>>		ATST4b
09:56:39	<<		OK
09:56:39	>>		ATSW64
09:56:39	<<		OK
09:56:39	>>		ATTP0
09:56:39	<<		OK
09:56:40	>>		0100
09:56:45	<<		SEARCHING...4100BE1FB811
09:56:45	>>		ATDPN
09:56:45	<<		A5
09:56:45	>>		ATDP
09:56:45	<<		AUTO, ISO 14230-4 (KWP FAST)
09:56:45	>>		ATH1
09:56:45	<<		OK
09:56:46	>>		0100
09:56:46	<<		86F1104100BE1FB8116E
09:56:46	>>		0100
09:56:46	<<		86F1104100BE1FB8116E
09:56:46	>>		0120
09:56:47	<<		86F11041208000000068
09:56:47	>>		0101
09:56:47	<<		86F110410182076100B3
09:56:47	>>		0600
09:56:47	<<		87F1104600FF800000004D
09:56:47	>>		08000000000000
09:56:48	<<		83F1107F08111C
09:56:48	>>		0900
09:56:48	<<		87F110490001FC000000CE
09:56:48	>>		011C
09:56:48	<<		83F110411C06E7
09:56:48	>>		0113
09:56:48	<<		83F110411303DB
09:56:48	>>		050001
09:56:49	<<		87F110450001C380000011
09:56:49	>>		050002
09:56:49	<<		87F110450002C300000092
09:56:49	>>		0902
09:56:49	<<		87F11049020100000020F487F110490202202020205587F110490203202020205687F110490204202020205787F1104902052020202058
09:56:49	>>		03
09:56:50	<<		87F1104305040441000019
09:56:50	>>		07
09:56:50	<<		87F110470504044100001D
09:56:50	>>		0101
09:56:50	<<		86F110410182076100B3
09:56:50	>>		020200
09:56:50	<<		85F1104202000504D3
09:56:55	>>		0100
09:56:56	<<		86F1104100BE1FB8116E
09:56:56	>>		0902
09:56:56	<<		87F11049020100000020F487F110490202202020205587F110490203202020205687F110490204202020205787F1104902052020202058
09:57:01	>>		0100
09:57:01	<<		86F1104100BE1FB8116E
09:57:03	>>		03
09:57:03	<<		87F1104305040441000019
09:57:05	>>		03
09:57:05	<<		87F1104305040441000019
09:57:05	>>		07
09:57:06	<<		87F110470504044100001D
09:57:06	>>		0101
09:57:06	<<		86F110410182076100B3
09:57:06	>>		020200
09:57:06	<<		85F1104202000504D3
09:57:11	>>		0100
09:57:11	<<		86F1104100BE1FB8116E
09:57:16	>>		0100
09:57:16	<<		86F1104100BE1FB8116E
09:57:21	>>		0100
09:57:22	<<		86F1104100BE1FB8116E
09:57:27	>>		0100
09:57:27	<<		86F1104100BE1FB8116E
09:57:32	>>		0100
09:57:32	<<		86F1104100BE1FB8116E
09:57:35	>>		03
09:57:35	<<		87F1104305040441000019
09:57:38	>>		07
09:57:38	<<		87F110470504044100001D
09:57:39	>>		0A
09:57:40	<<		83F1107F0A111E
09:57:41	>>		020200
09:57:41	<<		85F1104202000504D3
09:57:41	>>		020000
09:57:41	<<		87F1104200007E1F8000E7
09:57:41	>>		020300
09:57:41	<<		85F1104203000101CD
09:57:41	>>		020400
09:57:41	<<		84F1104204004C17
09:57:41	>>		020500
09:57:42	<<		84F1104205007945
09:57:42	>>		020600
09:57:42	<<		84F110420600804D
09:57:42	>>		020700
09:57:42	<<		84F1104207008755
09:57:42	>>		020C00
09:57:42	<<		85F110420C000F2A0D
09:57:42	>>		020D00
09:57:43	<<		84F110420D0006DA
09:57:43	>>		020E00
09:57:43	<<		84F110420E00AB80
09:57:43	>>		020F00
09:57:43	<<		84F110420F004E24
09:57:43	>>		021000
09:57:43	<<		85F1104210000105DE
09:57:43	>>		021100
09:57:43	<<		84F11042110021F9
09:57:43	>>		020201
09:57:44	<<		NO DATA
09:57:49	>>		0100
09:57:49	<<		86F1104100BE1FB8116E
09:57:54	>>		0100
09:57:54	<<		86F1104100BE1FB8116E
09:57:57	>>		0104
09:57:57	<<		83F110410400C9
09:58:02	>>		0100
09:58:03	<<		86F1104100BE1FB8116E
09:58:08	>>		0100
09:58:08	<<		86F1104100BE1FB8116E
09:58:13	>>		0100
09:58:13	<<		86F1104100BE1FB8116E
09:58:18	>>		0100
09:58:18	<<		86F1104100BE1FB8116E
09:58:23	>>		0100
09:58:23	<<		86F1104100BE1FB8116E
09:58:28	>>		0100
09:58:29	<<		86F1104100BE1FB8116E
09:58:30	>>		03
09:58:30	<<		87F1104305040441000019
09:58:30	>>		07
09:58:30	<<		87F110470504044100001D
09:58:30	>>		0101
09:58:30	<<		86F110410182076100B3
09:58:30	>>		020200
09:58:31	<<		85F1104202000504D3
09:58:36	>>		0100
09:58:36	<<		86F1104100BE1FB8116E
09:58:41	>>		0100
09:58:41	<<		86F1104100BE1FB8116E
09:58:46	>>		020200
09:58:46	<<		85F1104202000504D3
09:58:46	>>		020300
09:58:46	<<		85F1104203000101CD
09:58:46	>>		020400
09:58:47	<<		84F1104204004C17
09:58:47	>>		020500
09:58:47	<<		84F1104205007945
09:58:47	>>		020600
09:58:47	<<		84F110420600804D
09:58:47	>>		020700
09:58:47	<<		84F1104207008755
09:58:47	>>		020C00
09:58:47	<<		85F110420C000F2A0D
09:58:47	>>		020D00
